time,pos_x,pos_y
6.047656,-0.000634583,-0.000444473
6.051735,-0.000666328,-0.000380973
6.055812,-0.000698074,-0.000317473
6.059894,-0.000729813,-0.000285723
6.063972,-0.000729813,-0.000222223
6.068054,-0.000761559,-0.000158723
6.072134,-0.000761559,-9.52E-05
6.076337,-0.00079332,-6.35E-05
6.080298,-0.00079332,2.70E-08
6.084375,-0.00079332,3.18E-05
6.088456,-0.00079332,6.35E-05
6.09254,-0.00079332,0.000127027
6.096614,-0.000761559,0.000127027
6.100695,-0.000761559,0.000158777
6.104773,-0.000698059,0.000190527
6.108854,-0.000666313,0.000222277
6.112934,-0.000634567,0.000254027
6.117012,-0.000602814,0.000254027
6.121094,-0.000539322,0.000285777
6.12533,-0.000507576,0.000285777
6.129245,-0.000444084,0.000317527
6.133338,-0.000444084,0.000317527
6.137404,-0.000380577,0.000317527
6.141497,-0.000380577,0.000317527
6.145576,-0.000348831,0.000317527
6.149642,-0.000317085,0.000317527
6.153742,-0.000317085,0.000317527
6.157806,-0.000285339,0.000317527
6.161867,-0.000285339,0.000317527
6.16595,-0.000285339,0.000317527
6.170042,-0.000285339,0.000317527
6.174113,-0.000285339,0.000317527
6.17819,-0.000285339,0.000317527
6.18227,-0.000285339,0.000317527
6.186348,-0.000285339,0.000317527
6.190436,-0.000285339,0.000317527
6.194556,-0.000285339,0.000317527
6.19862,-0.000253593,0.000317527
6.202672,-0.000253593,0.000317527
6.206751,-0.000253593,0.000317527
6.210828,-0.000253593,0.000317527
6.214907,-0.000253593,0.000317527
6.218986,-0.000253593,0.000317527
6.223063,-0.000253593,0.000317527
6.227146,-0.000253593,0.000317527
6.231222,-0.000253593,0.000317527
6.23552,-0.000253593,0.000317527
6.235525,-0.000253593,0.000317527
6.239727,-0.000253593,0.000317527
6.243479,-0.000253593,0.000317527
6.247558,-0.000253593,0.000317527
6.251634,-0.000253593,0.000317527
6.255713,-0.000253593,0.000317527
6.259791,-0.000253593,0.000317527
6.263867,-0.000253593,0.000317527
6.267947,-0.000253593,0.000317527
6.272024,-0.000253593,0.000317527
6.276104,-0.000253593,0.000317527
6.280184,-0.000253593,0.000317527
6.284261,-0.000253593,0.000317527
6.288342,-0.000253593,0.000317527
6.292419,-0.000253593,0.000317527
6.296499,-0.000253593,0.000317527
6.300578,-0.000253593,0.000317527
6.304656,-0.000253593,0.000317527
6.308823,-0.000253593,0.000317527
6.312848,-0.000253593,0.000317527
6.316898,-0.000253593,0.000317527
6.320977,-0.000253593,0.000317527
6.325055,-0.000253593,0.000317527
6.329135,-0.000253593,0.000317527
6.333254,-0.000253593,0.000317527
6.337321,-0.000285339,0.000317527
6.341375,-0.000285339,0.000317527
6.345452,-0.000285339,0.000317527
6.349572,-0.000285339,0.000317527
6.353651,-0.000317085,0.000317527
6.35772,-0.000317085,0.000285777
6.361856,-0.000317085,0.000285777
6.365922,-0.000348831,0.000254027
